file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
metal.00012.wav,0.091,0.115,1.117,0.218,0.177,0.027,0.114,0.01,123.047,2779.055,280.458,2189.178,162.674,2545.416,146.263,2545.416,146.263,21.427,13.553,14.606,14.984,16.356,17.005,42.584,4.679,3.479,3.374,2.552,2.241,1.863,2.169,5243.776,576.297,-64.122,74.508,-45.966,65.874,-14.652,23.855,-13.768,37.752,-10.578,21.388,-9.331,17.912,-10.782,11.354,-11.163,8.707,-8.962,3.222,-5.745,2.41,21.199,15.101,11.711,13.958,8.72,9.418,9.032,7.212,7.587,6.716,6.124,6.039,5.47,5.27,5.18,5.291,4.976,4.595,4.892,4.419,0.653,0.649,0.606,0.537,0.656,0.621,0.588,0.609,0.613,0.564,0.533,0.628,0.235,0.221,0.219,0.195,0.226,0.221,0.214,0.219,0.229,0.232,0.214,0.222
metal.00058.wav,0.147,0.187,1.163,0.33,0.143,0.034,0.185,0.032,143.555,2447.602,358.527,2222.56,209.139,2605.613,172.497,2605.613,172.497,19.52,13.066,16.039,15.763,15.789,16.529,44.766,2.751,3.611,3.62,2.772,2.142,1.728,2.322,5011.691,802.327,-15.524,99.917,-37.429,45.792,-20.604,25.476,-18.471,26.344,-20.009,20.965,-13.497,10.816,-15.384,3.538,-7.563,3.798,-7.983,6.819,-1.936,3.774,18.392,13.587,13.111,11.243,9.34,7.336,7.101,5.894,7.126,6.668,5.973,6.732,6.187,6.172,6.12,5.161,6.576,6.929,5.791,6.006,0.349,0.407,0.447,0.395,0.533,0.471,0.486,0.593,0.511,0.493,0.374,0.38,0.246,0.252,0.261,0.217,0.313,0.271,0.252,0.311,0.267,0.308,0.247,0.261
metal.00054.wav,0.163,0.209,1.376,0.745,0.196,0.041,0.207,0.027,123.047,3101.309,397.024,2414.677,192.597,2726.437,189.463,2726.437,189.463,19.92,13.731,16.493,15.293,15.217,16.055,43.672,4.728,3.831,4.281,2.927,2.307,1.635,8.098,5821.093,680.963,1.189,66.665,-23.701,60.967,-18.881,29.758,-17.544,21.037,-11.193,18.814,-13.07,19.96,-10.57,10.519,-9.341,8.421,-6.654,5.012,-6.48,7.608,18.548,13.861,12.911,9.749,7.956,8.295,8.052,6.752,6.886,6.853,6.159,6.404,5.578,5.399,5.795,5.056,5.275,4.891,4.961,4.946,0.579,0.605,0.533,0.546,0.437,0.402,0.453,0.521,0.599,0.527,0.468,0.465,0.276,0.273,0.236,0.262,0.237,0.229,0.254,0.279,0.31,0.277,0.252,0.253
metal.00045.wav,0.069,0.094,1.604,1.602,0.144,0.062,0.088,0.032,123.047,2362.833,602.808,2029.455,345.397,2428.516,328.187,2428.516,328.187,21.343,16.469,17.74,17.477,17.463,19.285,39.165,4.201,4.781,5.205,3.642,3.772,3.69,3.91,4425.998,1106.166,-135.437,93.336,-43.294,59.22,-8.517,20.954,-6.528,21.898,-18.972,17.045,-15.88,11.068,-18.481,-0.822,-5.618,4.661,-8.74,2.116,-8.553,0.218,75.956,26.918,26.674,14.942,11.599,11.75,12.593,9.665,9.041,8.619,8.661,6.845,7.718,8.498,9.401,8.959,10.463,10.091,9.221,7.201,0.379,0.412,0.436,0.455,0.529,0.405,0.399,0.491,0.421,0.479,0.356,0.397,0.279,0.252,0.288,0.254,0.333,0.269,0.254,0.348,0.22,0.326,0.218,0.299
metal.00095.wav,0.146,0.195,1.821,1.89,0.121,0.049,0.185,0.061,151.999,2428.199,505.857,2331.66,237.508,2722.702,192.082,2722.702,192.082,26.387,14.549,16.39,16.028,15.779,16.688,43.013,5.543,4.046,3.969,3.004,2.554,1.971,4.413,5174.589,918.103,-35.435,94.096,-24.216,43.311,-16.38,29.51,-5.861,28.444,-13.959,13.743,-9.196,15.589,-8.493,11.4,-6.13,9.324,-6.608,3.498,-3.287,3.655,35.699,17.919,14.065,10.979,10.01,8.647,7.97,6.991,7.053,6.833,6.5,5.734,5.806,6.281,6.042,5.659,5.798,6.958,6.151,5.632,0.565,0.643,0.52,0.478,0.543,0.501,0.549,0.494,0.515,0.469,0.523,0.539,0.252,0.28,0.226,0.214,0.27,0.222,0.296,0.255,0.273,0.268,0.26,0.27
metal.00016.wav,0.216,0.273,1.061,0.133,0.18,0.04,0.27,0.043,123.047,2733.812,378.967,2143.164,225.52,2518.967,222.905,2518.967,222.905,22.73,13.382,14.056,15.544,15.516,16.704,43.22,4.897,3.532,3.564,3.0,2.023,1.759,9.037,5121.547,766.042,26.712,79.789,-52.052,51.319,-16.364,22.019,-17.458,30.918,-15.994,16.133,-12.188,11.309,-12.451,5.205,-7.676,10.186,-9.727,-1.697,-7.614,-3.932,19.773,18.224,15.288,14.228,12.697,10.898,11.217,10.698,8.527,8.372,6.797,7.178,7.086,6.61,6.21,7.331,5.702,6.043,6.027,5.541,0.453,0.541,0.533,0.51,0.526,0.468,0.35,0.407,0.513,0.631,0.661,0.469,0.237,0.269,0.263,0.247,0.252,0.248,0.205,0.215,0.243,0.278,0.286,0.241
metal.00014.wav,0.062,0.079,1.217,0.481,0.185,0.037,0.078,0.015,151.999,2829.518,307.94,2114.839,185.782,2450.533,187.028,2450.533,187.028,21.988,15.572,15.685,16.875,16.717,17.878,40.884,4.207,4.017,3.777,3.356,2.181,1.868,2.841,5163.864,591.21,-117.856,65.442,-51.419,74.095,-13.758,25.735,-13.13,32.223,-10.344,21.7,-7.793,12.351,-14.444,5.786,-13.264,4.568,-11.386,-0.666,-4.566,-0.218,44.022,15.551,12.658,12.953,8.448,7.349,7.874,8.226,6.058,7.11,5.451,7.16,5.344,6.965,6.35,6.549,5.03,7.112,5.548,7.465,0.544,0.576,0.579,0.565,0.601,0.58,0.644,0.606,0.505,0.397,0.454,0.58,0.248,0.245,0.257,0.232,0.27,0.222,0.263,0.245,0.23,0.21,0.229,0.263
metal.00023.wav,0.154,0.199,1.349,0.708,0.132,0.042,0.195,0.036,143.555,2558.771,380.34,2238.798,236.421,2555.042,250.816,2555.042,250.816,21.633,15.518,16.534,16.114,16.313,18.061,41.511,4.865,3.437,3.901,2.965,2.935,3.479,6.404,5045.556,652.748,-43.775,82.797,-29.635,70.426,-21.616,31.164,2.071,28.895,-2.702,19.904,-6.94,19.143,-7.378,7.892,-13.872,4.062,-6.875,-1.782,1.459,4.532,29.589,15.552,16.025,11.324,7.337,8.096,8.477,6.469,8.182,6.057,6.12,5.943,5.462,4.954,4.622,4.91,4.876,6.274,5.658,4.655,0.656,0.562,0.558,0.553,0.549,0.516,0.443,0.541,0.541,0.41,0.461,0.546,0.304,0.243,0.23,0.279,0.278,0.296,0.224,0.252,0.253,0.218,0.251,0.214
metal.00062.wav,0.077,0.099,1.437,0.905,0.137,0.033,0.098,0.019,117.454,2261.717,368.545,1930.104,297.212,2329.547,299.475,2329.547,299.475,21.979,16.044,16.268,16.591,16.134,19.259,39.168,3.861,4.012,4.338,3.371,2.513,3.079,3.376,4180.914,851.384,-100.384,104.688,-57.248,56.569,-5.552,22.825,-6.165,23.092,-19.065,17.791,-13.773,9.959,-14.852,0.34,-7.334,6.971,-12.669,-0.557,-11.754,-1.541,36.414,19.851,18.15,10.638,9.67,10.065,10.502,8.878,7.087,7.213,6.945,7.072,6.99,8.436,7.276,6.39,6.39,5.575,6.116,5.507,0.442,0.392,0.428,0.487,0.562,0.422,0.439,0.494,0.495,0.522,0.371,0.403,0.29,0.236,0.257,0.245,0.32,0.245,0.267,0.287,0.264,0.316,0.223,0.265
metal.00097.wav,0.148,0.193,1.515,1.052,0.086,0.045,0.186,0.052,112.347,1966.183,580.483,2109.634,259.287,2547.633,224.562,2547.633,224.562,25.001,14.622,17.504,15.962,16.363,17.82,41.37,4.634,3.812,4.182,2.829,2.564,2.188,4.902,4213.888,1122.497,-82.097,98.277,-16.516,68.431,1.434,29.853,-5.276,24.398,-10.475,14.394,-7.894,10.023,-8.496,6.673,-6.289,4.441,-7.26,2.318,4.241,1.103,71.641,17.335,27.553,11.839,9.416,7.089,8.427,8.008,7.415,5.886,7.512,6.292,6.733,8.474,6.466,6.206,5.934,5.739,6.39,6.179,0.584,0.484,0.522,0.445,0.462,0.445,0.433,0.43,0.487,0.595,0.468,0.478,0.299,0.208,0.277,0.222,0.275,0.297,0.234,0.244,0.254,0.347,0.25,0.253
