model,accuracy,precision_macro,recall_macro,f1_score_macro,roc_auc_macro
fnn_baseline,0.2,0.2,0.1600425498734211,0.08004159652786683,0.6816577408433364
exp_1_cnn_3_mel,0.866,0.866,0.8676595905140838,0.8658044583919114,0.9879744444444445
exp_1_cnn_3_spec,0.7,0.7,0.6935063976898401,0.6861370168372328,0.9512188888888888
exp_1_cnn_3_mfcc,0.611,0.611,0.6102728697862484,0.6086856894166608,0.9203533333333332
exp_2_cnn_3_mel,0.8563157894736843,0.8563157894736841,0.855574861765902,0.8552910661132082,0.9859027393044014
exp_2_cnn_4_mel,0.89,0.8899999999999999,0.8899728296960168,0.8895503555625378,0.9909473684210525
exp_2_cnn_5_mel,0.8789473684210526,0.8789473684210526,0.8787047941547144,0.8781060573843794,0.9900104647583872
exp_2_cnn_6_mel,0.888421052631579,0.888421052631579,0.8883473251027943,0.887637072212285,0.9930089258233303
exp_2_cnn_7_mel,0.8921052631578947,0.8921052631578948,0.8914437842266807,0.8914386734339846,0.9912486919052018
lr,0.7433333333333333,0.7526161130438831,0.7433333333333334,0.7457573094469876,0.8574074074074074
rf,0.73,0.7388314276739324,0.7299999999999999,0.7304639221727204,0.8500000000000002
xgb,0.7766666666666666,0.7829236020422754,0.7766666666666666,0.7754377401822387,0.875925925925926
svm,0.7466666666666667,0.7636082816965171,0.7466666666666666,0.7487495707203724,0.8592592592592594
knn,0.72,0.7395239453116422,0.72,0.7231463248483493,0.8444444444444443
